epoch,seconds,train_loss,train_mae_samples,train_mae_seconds,train_median_ae_samples,train_rmse_samples,train_within_0_1s_percent,train_within_0_2s_percent,train_within_0_5s_percent,train_mean_peak_probability,validation_loss,validation_mae_samples,validation_mae_seconds,validation_median_ae_samples,validation_rmse_samples,validation_within_0_1s_percent,validation_within_0_2s_percent,validation_within_0_5s_percent,validation_mean_peak_probability
1,44.9224400000021,5.688956880187988,154.494875,1.54494875,35.0,258.0807967962746,37.875,45.18,52.83,0.023746073770523072,4.918183902740479,100.85,1.0085,8.0,212.61607747298885,54.67999999999999,62.339999999999996,69.78,0.03299872741699219
2,42.953666900000826,4.855634032440186,92.45645,0.9245645,8.0,201.40395229488422,56.377500000000005,65.235,72.9675,0.047753478479385374,4.722661248016357,85.0676,0.850676,6.0,187.52825920377973,58.84,67.62,74.02,0.03592612190246582
3,46.58325789999799,4.715217185974121,79.6149,0.7961490000000001,7.0,182.11115932309036,59.19,68.675,76.225,0.052882976961135864,4.597084999084473,71.3482,0.7134820000000001,6.0,168.81949591205395,61.72,70.98,77.78,0.03808958625793457
4,44.80190589999984,4.632630503082275,75.349675,0.75349675,7.0,176.37471537893407,60.587500000000006,70.24000000000001,77.535,0.05513517026901245,4.52572317237854,69.3924,0.693924,6.0,166.49087062058388,62.68,72.24000000000001,78.72,0.03795129699707031
5,44.83564539999861,4.589309156799317,72.923275,0.72923275,7.0,173.49302500388885,61.417500000000004,71.1275,78.3425,0.05639187688827515,4.497399425888061,75.5034,0.755034,6.0,179.29090049414108,62.519999999999996,71.74000000000001,78.08,0.038564915466308594
6,44.58219299999837,4.541062942504883,72.14195,0.7214195,6.0,174.85476730704255,62.212500000000006,71.9575,79.11,0.0586004695892334,4.4413475357055665,73.8388,0.738388,6.0,180.7945131910811,64.46,73.14,79.24,0.04217560539245605
7,45.210286800000176,4.497879884338379,67.111475,0.67111475,6.0,166.54662117557353,62.995000000000005,73.005,80.315,0.06081678037643433,4.4301030136108395,61.8442,0.618442,6.0,158.38825903456353,65.66,74.86,81.2,0.0427651123046875
8,45.689501500000915,4.457866418457031,64.491,0.64491,6.0,164.20443203519204,63.9275,73.94500000000001,81.2925,0.06223857269287109,4.427172286987305,74.8068,0.748068,6.0,181.46928665754984,63.46000000000001,72.08,78.82000000000001,0.0415697135925293
9,45.15371539999978,4.433203451538086,62.569125,0.62569125,6.0,161.15611507169066,64.1575,74.52499999999999,81.7075,0.06311092109680176,4.344603908920288,60.9884,0.609884,5.0,159.15899094930202,66.47999999999999,75.56,81.89999999999999,0.043452503204345704
10,46.5866105999994,4.412016977691651,60.238325,0.60238325,6.0,157.62800298487576,64.905,74.91499999999999,82.37,0.0645266671180725,4.304907122039795,57.7536,0.5775359999999999,5.0,158.28578205258992,67.88,77.02,83.5,0.04368740081787109
