INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
          0.000995        0.000237        0.001727
          0.000921       -0.000569        0.001648
          0.000329       -0.001170        0.001230
         -0.000365       -0.001831        0.000690
         -0.000790       -0.002308        0.000105
         -0.000855       -0.002229       -0.000368
         -0.000670       -0.001712       -0.000549
         -0.000520       -0.001009       -0.000598
         -0.000644       -0.000067       -0.000903
         -0.000928        0.001088       -0.001437
         -0.000993        0.002018       -0.001663
         -0.000612        0.002327       -0.001320
          0.000043        0.002113       -0.000863
          0.000563        0.001764       -0.000828
          0.000743        0.001535       -0.001067
          0.000751        0.001426       -0.000986
          0.000773        0.001253       -0.000391
          0.000704        0.000876        0.000323
          0.000452        0.000445        0.000807
          0.000267        0.000224        0.001095
          0.000386        0.000188        0.001216
          0.000490        0.000129        0.000976
          0.000081        0.000035        0.000314
         -0.000603       -0.000025       -0.000455
         -0.000709       -0.000140       -0.000952
         -0.000052       -0.000296       -0.001172
          0.000447       -0.000250       -0.001484
          0.000018       -0.000042       -0.002018
         -0.000881       -0.000142       -0.002214
         -0.001197       -0.000765       -0.001438
         -0.000603       -0.001428       -0.000010
          0.000274       -0.001563        0.000987
          0.000706       -0.001207        0.000942
          0.000542       -0.000747        0.000268
          0.000142       -0.000311       -0.000350
         -0.000009        0.000170       -0.000753
          0.000311        0.000593       -0.001129
          0.000769        0.000796       -0.001370
          0.000787        0.000811       -0.001133
          0.000339        0.000692       -0.000473
          0.000060        0.000373        0.000145
          0.000366       -0.000049        0.000548
          0.000897       -0.000180        0.001044
          0.001003        0.000189        0.001770
          0.000511        0.000715        0.002314
         -0.000128        0.000989        0.002247
         -0.000389        0.001039        0.001685
         -0.000276        0.000952        0.001037
         -0.000208        0.000553        0.000444
         -0.000372       -0.000086       -0.000157
         -0.000608       -0.000547       -0.000629
         -0.000867       -0.000884       -0.000754
         -0.001170       -0.001553       -0.000614
         -0.001230       -0.002291       -0.000453
         -0.000741       -0.002240       -0.000281
         -0.000015       -0.001419        0.000093
          0.000260       -0.000820        0.000718
         -0.000086       -0.000765        0.001409
         -0.000444       -0.000424        0.001871
         -0.000196        0.000626        0.001814
          0.000515        0.001528        0.001121
          0.001060        0.001430        0.000165
          0.001149        0.000704       -0.000386
          0.000961        0.000247       -0.000422
          0.000639        0.000252       -0.000571
          0.000195        0.000237       -0.001092
         -0.000194       -0.000144       -0.001393
         -0.000310       -0.000821       -0.001138
         -0.000269       -0.001538       -0.000828
         -0.000355       -0.001961       -0.000758
         -0.000554       -0.001757       -0.000473
         -0.000602       -0.000955        0.000285
         -0.000460       -0.000075        0.001025
         -0.000338        0.000479        0.001280
         -0.000273        0.000936        0.001174
         -0.000135        0.001555        0.000984
         -0.000023        0.001869        0.000682
         -0.000130        0.001304        0.000245
         -0.000248        0.000220       -0.000059
          0.000038       -0.000492       -0.000039
          0.000569       -0.000551        0.000121
          0.000652       -0.000235        0.000256
          0.000080        0.000321        0.000418
         -0.000514        0.000947        0.000504
         -0.000681        0.001153        0.000340
         -0.000782        0.000799        0.000200
         -0.001067        0.000507        0.000401
         -0.001033        0.000739        0.000550
         -0.000421        0.001025        0.000111
          0.000071        0.000713       -0.000599
         -0.000111       -0.000007       -0.000880
         -0.000460       -0.000467       -0.000637
         -0.000350       -0.000588       -0.000194
         -0.000037       -0.000893        0.000299
         -0.000045       -0.001512        0.000695
         -0.000255       -0.001840        0.000656
         -0.000194       -0.001412        0.000097
          0.000208       -0.000612       -0.000653
          0.000629       -0.000119       -0.001406
          0.000891        0.000038       -0.002241
          0.001072        0.000327       -0.002943
          0.001164        0.000799       -0.002989
          0.001045        0.001031       -0.002242
          0.000863        0.000893       -0.001070
          0.000941        0.000599        0.000140
          0.001151        0.000175        0.001027
          0.000939       -0.000381        0.001163
          0.000198       -0.000705        0.000577
         -0.000510       -0.000512        0.000025
         -0.000788       -0.000129        0.000086
         -0.000823       -0.000004        0.000359
         -0.000793        0.000009        0.000166
         -0.000549        0.000336       -0.000409
         -0.000110        0.000824       -0.000793
          0.000140        0.000838       -0.000843
          0.000041        0.000296       -0.000847
         -0.000053       -0.000109       -0.000886
          0.000139        0.000055       -0.000751
          0.000303        0.000409       -0.000396
          0.000008        0.000536       -0.000046
         -0.000494        0.000563        0.000155
         -0.000549        0.000597        0.000399
         -0.000221        0.000361        0.000947
         -0.000329       -0.000146        0.001563
         -0.001082       -0.000360        0.001566
         -0.001562       -0.000020        0.000762
         -0.001061        0.000310       -0.000047
         -0.000045        0.000126       -0.000059
          0.000673       -0.000252        0.000374
          0.000940       -0.000330        0.000337
          0.001016       -0.000187       -0.000177
          0.001017       -0.000105       -0.000252
          0.000916        0.000016        0.000517
          0.000726        0.000372        0.001449
          0.000491        0.000782        0.001856
          0.000275        0.000904        0.001880
          0.000113        0.000738        0.001889
         -0.000079        0.000547        0.001781
         -0.000377        0.000365        0.001264
         -0.000630       -0.000007        0.000343
