INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.648
LONGITUD        : -76.879
PROFUNDIDAD     : 44.0 km
MAGNITUD        : M5.0
DIST. EPICENTRAL: 74.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:35 UTC
NUMERO DE MUESTRAS         : 8288
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    4.9659         9.3884       10.1010

              Z              N              E
         -0.000857        0.001092        0.000599
         -0.000142        0.000201       -0.000610
          0.000504       -0.000687       -0.000562
          0.000498        0.000669        0.000303
          0.000366        0.002371        0.000410
          0.000619        0.001931       -0.000483
          0.000691        0.000313       -0.001111
         -0.000104       -0.000313       -0.000888
         -0.001010        0.000051       -0.000607
         -0.000644        0.000193       -0.000584
          0.000713       -0.000080        0.000128
          0.001276       -0.000221        0.001663
          0.000302       -0.000151        0.002229
         -0.001077       -0.000229        0.000579
         -0.001596       -0.000497       -0.001723
         -0.001147       -0.000527       -0.002149
         -0.000304       -0.000032       -0.000469
          0.000477        0.000677        0.001237
          0.000890        0.000918        0.001420
          0.000541        0.000212        0.000688
         -0.000575       -0.001060        0.000353
         -0.001494       -0.001559        0.000291
         -0.001248       -0.000459       -0.000566
         -0.000402        0.000933       -0.001825
         -0.000230        0.000594       -0.001674
         -0.000576       -0.001078        0.000150
         -0.000355       -0.001621        0.001482
          0.000240       -0.000257        0.000795
          0.000139        0.000962       -0.000624
         -0.000520        0.000336       -0.000566
         -0.000771       -0.001103        0.001195
         -0.000608       -0.001402        0.002743
         -0.000624       -0.000541        0.002459
         -0.000637       -0.000112        0.001010
         -0.000122       -0.000541        0.000285
          0.000703       -0.000364        0.000690
          0.001203        0.001004        0.000814
          0.001132        0.001757       -0.000149
          0.000643        0.000621       -0.001215
          0.000047       -0.000744       -0.001234
         -0.000313       -0.000514       -0.000454
         -0.000374        0.000266        0.000081
         -0.000429       -0.000230       -0.000156
         -0.000592       -0.001593       -0.000901
         -0.000581       -0.002221       -0.001594
         -0.000306       -0.001594       -0.001772
         -0.000130       -0.000247       -0.001365
         -0.000225        0.000986       -0.000859
         -0.000148        0.001196       -0.000900
          0.000419        0.000124       -0.001442
          0.000864       -0.001262       -0.001612
          0.000509       -0.001761       -0.000834
          0.000010       -0.001265        0.000260
          0.000367       -0.000629        0.000720
          0.000819       -0.000530        0.000550
         -0.000162       -0.000766        0.000193
         -0.001937       -0.000660       -0.000411
         -0.002212       -0.000041       -0.001166
         -0.000600        0.000577       -0.001326
          0.000757        0.000763       -0.000688
          0.000484        0.000555        0.000063
         -0.000277        0.000222        0.000736
         -0.000134        0.000150        0.001538
          0.000343        0.000516        0.001709
         -0.000169        0.000816        0.000556
         -0.001346        0.000495       -0.000731
         -0.001530        0.000049       -0.000653
         -0.000317        0.000386        0.000254
          0.000761        0.001201        0.000614
          0.000649        0.001212        0.000279
          0.000223        0.000088       -0.000191
          0.000493       -0.000942       -0.000541
          0.000973       -0.000765       -0.000600
          0.000937        0.000138       -0.000416
          0.000850        0.000562       -0.000542
          0.001291        0.000346       -0.001010
          0.001570        0.000351       -0.000839
          0.000758        0.000856        0.000312
         -0.000578        0.001018        0.001143
         -0.001011        0.000324        0.000594
         -0.000291       -0.000262       -0.000402
          0.000426        0.000351       -0.000291
          0.000206        0.001367        0.000857
         -0.000715        0.001000        0.001712
         -0.001453       -0.000697        0.001674
         -0.001238       -0.001755        0.001354
         -0.000009       -0.001209        0.001416
          0.001261       -0.000250        0.001805
          0.001456       -0.000106        0.002004
          0.000829       -0.000479        0.001603
          0.000616       -0.000560        0.000707
          0.001005       -0.000131       -0.000136
          0.000912        0.000776       -0.000589
         -0.000056        0.001988       -0.000945
         -0.000890        0.002616       -0.001642
         -0.000742        0.001791       -0.002476
         -0.000033        0.000289       -0.002601
          0.000348       -0.000106       -0.001471
          0.000206        0.000824        0.000317
          0.000072        0.001413        0.001480
          0.000318        0.000699        0.001493
          0.000547       -0.000412        0.001116
          0.000196       -0.000969        0.001190
         -0.000290       -0.001253        0.001394
          0.000209       -0.001631        0.000893
          0.001506       -0.001523       -0.000213
          0.001696       -0.000338       -0.001096
         -0.000148        0.001330       -0.001535
         -0.002043        0.002208       -0.001842
         -0.001476        0.001873       -0.001836
          0.000930        0.001123       -0.001215
          0.002074        0.000763       -0.000509
          0.000752        0.000704       -0.000316
         -0.000809        0.000483       -0.000108
         -0.000579       -0.000012        0.000898
          0.000394       -0.000613        0.002138
          0.000334       -0.001091        0.002261
         -0.000186       -0.001191        0.001071
          0.000171       -0.000881       -0.000178
          0.000638       -0.000478       -0.000461
         -0.000243       -0.000266       -0.000053
         -0.001653       -0.000166        0.000298
         -0.001678        0.000108        0.000399
         -0.000515        0.000710        0.000338
          0.000032        0.001360        0.000065
         -0.000411        0.001351       -0.000090
         -0.000517        0.000332        0.000381
          0.000269       -0.000912        0.000695
          0.000812       -0.001215       -0.000784
          0.000027       -0.000522       -0.003672
         -0.001497        0.000218       -0.005221
         -0.002051        0.000446       -0.003946
         -0.000860        0.000289       -0.001437
          0.000820       -0.000154        0.000244
          0.001142       -0.000734        0.000712
         -0.000077       -0.000936        0.000286
         -0.001299       -0.000660       -0.000803
         -0.001292       -0.000720       -0.001544
         -0.000358       -0.001632       -0.000507
          0.000438       -0.002620        0.002011
          0.000607       -0.002629        0.003660
          0.000429       -0.001687        0.002761
          0.000059       -0.000662        0.000318
         -0.000737       -0.000144       -0.001477
         -0.001586       -0.000058       -0.001861
         -0.001364       -0.000080       -0.001652
          0.000080        0.000131       -0.001331
          0.001246        0.001056       -0.000336
          0.001038        0.002834        0.001517
          0.000310        0.004446        0.003198
          0.000344        0.004353        0.003705
          0.000889        0.002433        0.003249
          0.000858        0.000249        0.002604
          0.000180       -0.001015        0.002012
         -0.000283       -0.001689        0.001311
         -0.000312       -0.002344        0.000668
         -0.000535       -0.002761        0.000367
         -0.001058       -0.002668        0.000010
         -0.001050       -0.002217       -0.001034
         -0.000081       -0.001433       -0.002170
          0.000990       -0.000334       -0.001909
          0.001104        0.000352       -0.000167
          0.000404       -0.000114        0.001213
         -0.000228       -0.000987        0.000851
         -0.000522       -0.000700       -0.000548
         -0.000689        0.000570       -0.001337
         -0.000510        0.000679       -0.000744
          0.000159       -0.001174        0.000540
          0.000575       -0.002784        0.001255
          0.000180       -0.002030        0.001128
         -0.000253        0.000105        0.001014
          0.000045        0.001243        0.001231
          0.000344        0.000863        0.001049
         -0.000173        0.000221        0.000363
         -0.000649        0.000213        0.000243
          0.000068        0.000672        0.001014
          0.001282        0.001124        0.001282
          0.001455        0.001247       -0.000078
          0.000603        0.000866       -0.002063
          0.000115        0.000160       -0.002873
          0.000598       -0.000223       -0.002379
          0.001191        0.000075       -0.002015
          0.000984        0.000407       -0.002457
          0.000133        0.000058       -0.002713
         -0.000600       -0.000463       -0.001911
         -0.000833       -0.000275       -0.000927
         -0.000730        0.000236       -0.001016
         -0.000463        0.000126       -0.001399
         -0.000003       -0.000199       -0.000246
          0.000482        0.000514        0.001892
          0.000539        0.002070        0.002281
          0.000048        0.002748        0.000230
         -0.000480        0.001801       -0.001727
         -0.000596        0.000550       -0.001608
         -0.000444        0.000431       -0.000083
         -0.000290        0.001123        0.001563
         -0.000069        0.001272        0.002683
          0.000195        0.000329        0.002529
          0.000148       -0.000894        0.000967
         -0.000298       -0.001317       -0.000475
         -0.000618       -0.000956       -0.000482
         -0.000328       -0.000754        0.000098
          0.000355       -0.001025       -0.000016
          0.000736       -0.001094       -0.000374
          0.000453       -0.000730       -0.000092
         -0.000098       -0.000423        0.000317
         -0.000358       -0.000065        0.000096
         -0.000302        0.000743       -0.000256
         -0.000147        0.001254       -0.000088
          0.000033        0.000628        0.000099
          0.000010       -0.000234       -0.000379
         -0.000370       -0.000082       -0.001247
         -0.000531        0.000512       -0.001803
          0.000052        0.000320       -0.001673
          0.000641       -0.000440       -0.000949
          0.000278       -0.000725       -0.000266
